id,first_name,surname,sex,email,city_id,monthly_budget
35,Ines,Lott,M,Ines.Lo@hotmail.com,5,1000.0
36,Sarah,Crossley,F,Sarah.Cr@hotmail.com,1,600.0
37,Robert,Mckee,M,Robert.Mckee@gmail.com,4,800.0
38,Nathalie,Marshall,F,Na.Marshall@yahoo.com,5,600.0
39,Alyx,Conway,M,Alyx.Conway@walla.co.il,1,800.0
40,Mairead,Acevedo,F,Ma.Acevedo@walla.co.il,4,600.0
41,Hadi,Gardiner,M,Hadi.Ga@hotmail.com,4,500.0
42,Aahil,Redman,M,Aahil.Re@hotmail.com,3,1000.0
43,Simrah,Greig,F,Si.Greig@yahoo.com,4,600.0
44,Evie,Berg,F,Ev.Be@gmail.com,4,600.0
45,Jaime,Britton,M,Jaime.Britton@walla.co.il,1,800.0
46,Mariyah,Green,F,Ma.Green@walla.co.il,4,1000.0
47,Joyce,Newton,F,Joyce.Ne@gmail.com,4,500.0
48,Kaison,Harvey,M,Kaison.Harvey@yahoo.com,2,600.0
49,Blane,Compton,M,Bl.Co@gmail.com,3,800.0
50,Jayda,Lord,F,Jayda.Lord@walla.co.il,1,600.0
51,Essa,Hope,M,Essa.Ho@walla.co.il,4,500.0
52,Franklyn,Findlay,M,Franklyn.Findlay@yahoo.com,1,800.0
53,Lilly-Ann,Frey,F,Li.Fr@hotmail.com,1,1000.0
54,Cavan,Bates,M,Ca.Ba@walla.co.il,3,800.0
55,Yasir,Noel,M,Ya.Noel@walla.co.il,5,500.0
56,Kyra,Mccann,F,Ky.Mc@walla.co.il,1,500.0
57,Kya,Melton,M,Kya.Me@gmail.com,4,500.0
58,Colleen,Steele,F,Co.St@hotmail.com,1,800.0
59,Jaydon,Trujillo,M,Jaydon.Tr@walla.co.il,1,1000.0
60,Bryson,Lynch,M,Bryson.Ly@hotmail.com,1,800.0
61,Kiki,Schneider,F,Kiki.Sc@hotmail.com,4,600.0
62,Janine,Coulson,F,Ja.Coulson@gmail.com,4,500.0
63,Lorena,Dunkley,M,Lo.Dunkley@walla.co.il,5,500.0
64,Jody,Horn,F,Jo.Ho@walla.co.il,2,600.0
65,Carmen,Calvert,F,Carmen.Ca@hotmail.com,1,1000.0
66,Kamron,Goodwin,M,Ka.Goodwin@hotmail.com,3,800.0
67,Campbell,Alvarez,M,Campbell.Alvarez@hotmail.com,5,600.0
68,Aydin,Hirst,M,Aydin.Hirst@hotmail.com,1,1000.0
69,Griff,Blackwell,M,Griff.Blackwell@walla.co.il,3,1000.0
70,Ari,Barr,M,Ar.Barr@yahoo.com,3,500.0
71,Cecil,Hatfield,M,Ce.Ha@hotmail.com,3,500.0
72,Nichole,Edge,F,Nichole.Edge@gmail.com,5,600.0
73,Sohaib,Walls,M,Sohaib.Walls@gmail.com,5,600.0
74,Lani,O'Reilly,M,Lani.O@walla.co.il,4,600.0
75,Bridie,Morales,F,Bridie.Morales@yahoo.com,2,800.0
76,Christina,Blankenship,F,Christina.Bl@walla.co.il,4,500.0
77,Claude,Patel,M,Cl.Pa@yahoo.com,1,600.0
78,Whitney,Farrington,M,Whitney.Farrington@yahoo.com,3,500.0
79,Danny,Ortiz,M,Danny.Or@hotmail.com,3,600.0
80,Sioned,Russell,F,Sioned.Russell@walla.co.il,3,1000.0
81,Daniel,Calderon,M,Daniel.Ca@walla.co.il,5,500.0
82,Misha,Ashley,M,Mi.As@hotmail.com,3,1000.0
83,Tony,Francis,M,To.Francis@gmail.com,5,600.0
84,Simone,Morse,F,Si.Mo@hotmail.com,5,500.0
85,Milly,Cash,F,Mi.Cash@gmail.com,2,600.0
86,Keir,Ewing,M,Keir.Ewing@walla.co.il,3,800.0
87,Mason,Booth,M,Ma.Bo@yahoo.com,2,600.0
88,Anayah,Lee,F,Anayah.Lee@hotmail.com,4,1000.0
89,Jerry,Smith,F,Jerry.Sm@gmail.com,5,500.0
90,Joss,Brandt,F,Joss.Brandt@walla.co.il,1,800.0
91,Leo,Walton,M,Leo.Walton@hotmail.com,5,1000.0
92,Sofia,Calhoun,F,So.Calhoun@walla.co.il,2,500.0
93,Alexandru,Holmes,M,Al.Ho@hotmail.com,5,600.0
94,Sayed,Irvine,M,Sayed.Ir@yahoo.com,4,600.0
95,Briony,Plummer,F,Br.Pl@yahoo.com,4,600.0
96,Presley,Yu,F,Pr.Yu@walla.co.il,3,800.0
97,Gabriel,Bannister,M,Ga.Bannister@gmail.com,1,800.0
98,Amina,Hogan,F,Am.Ho@yahoo.com,5,800.0
99,Osian,England,M,Os.England@hotmail.com,4,500.0
100,Patryk,Burgess,M,Patryk.Burgess@yahoo.com,4,600.0
101,Yaqub,Reese,M,Ya.Reese@gmail.com,1,500.0
102,Wren,Arnold,F,Wren.Arnold@yahoo.com,3,1000.0
103,Gregor,Bishop,M,Gr.Bishop@hotmail.com,5,800.0
104,Blake,Dyer,F,Blake.Dy@gmail.com,3,1000.0
105,Bonita,Benton,F,Bo.Benton@hotmail.com,1,1000.0
106,Simeon,Guevara,M,Simeon.Gu@walla.co.il,3,1000.0
107,Anton,Ray,M,Anton.Ray@yahoo.com,5,1000.0
108,Alexa,Stokes,F,Al.Stokes@yahoo.com,1,800.0
109,Simon,Mccormick,M,Si.Mc@walla.co.il,4,800.0
110,Danyl,Martins,M,Da.Martins@yahoo.com,5,800.0
111,Barbara,Hayward,F,Barbara.Ha@hotmail.com,2,800.0
112,Faith,Owen,F,Fa.Ow@yahoo.com,3,1000.0
113,Macie,Lara,F,Ma.La@gmail.com,3,1000.0
114,Matthias,Norton,M,Matthias.No@yahoo.com,5,1000.0
115,Rami,Sexton,M,Rami.Sexton@hotmail.com,2,600.0
116,Tess,Dorsey,F,Tess.Dorsey@yahoo.com,3,500.0
117,Lillie,Barnard,F,Li.Barnard@hotmail.com,4,500.0
118,Amar,Hewitt,M,Amar.He@gmail.com,4,600.0
119,Steffan,Mata,M,St.Ma@walla.co.il,2,500.0
120,Bridget,Colley,F,Bridget.Co@gmail.com,5,800.0
121,Princess,Timms,F,Pr.Ti@gmail.com,1,800.0
122,Ellena,Castro,F,El.Ca@yahoo.com,4,800.0
123,Romy,Neal,F,Romy.Neal@walla.co.il,1,600.0
124,Imogen,Lynch,F,Im.Ly@hotmail.com,3,1000.0
125,Maheen,Marin,M,Maheen.Ma@hotmail.com,4,500.0
126,Macey,Almond,M,Macey.Almond@yahoo.com,1,1000.0
127,Tylor,Cochran,M,Ty.Cochran@gmail.com,2,800.0
128,Parker,Drake,M,Parker.Dr@walla.co.il,3,800.0
129,Bobbie,Cochran,F,Bo.Cochran@gmail.com,4,800.0
130,Haleemah,Davidson,F,Haleemah.Da@yahoo.com,1,1000.0
131,Jun,Barnard,M,Ju.Ba@hotmail.com,3,1000.0
132,Yousuf,Banks,M,Yousuf.Ba@hotmail.com,2,800.0
133,Liyana,Stanton,F,Li.Stanton@hotmail.com,2,800.0
134,Brandi,Travis,F,Brandi.Travis@hotmail.com,1,600.0
135,Cynthia,Frye,F,Cy.Fr@walla.co.il,2,1000.0
136,Shanay,Reyna,M,Sh.Reyna@yahoo.com,5,500.0
137,Terrence,Payne,M,Te.Pa@hotmail.com,1,800.0
138,Jiya,Raymond,F,Ji.Ra@hotmail.com,5,600.0
139,Octavia,Hooper,F,Oc.Hooper@gmail.com,2,800.0
140,Florrie,Wilson,F,Fl.Wilson@walla.co.il,1,600.0
141,Chanel,Paine,F,Chanel.Paine@gmail.com,2,500.0
142,Atlanta,Cunningham,F,At.Cunningham@hotmail.com,4,600.0
143,Aman,Driscoll,M,Am.Dr@hotmail.com,4,800.0
144,Willie,Cairns,M,Willie.Ca@hotmail.com,4,600.0
145,Taran,Samuels,F,Ta.Samuels@hotmail.com,4,600.0
146,Tiya,Warren,F,Tiya.Warren@gmail.com,1,600.0
147,Ahsan,Oneil,M,Ah.On@walla.co.il,4,500.0
148,Nora,Xiong,M,Nora.Xiong@walla.co.il,4,1000.0
149,Zoey,Hendricks,F,Zoey.He@hotmail.com,4,600.0
150,Lilly-Mae,Greer,F,Li.Gr@hotmail.com,3,800.0
151,Arisha,Irving,F,Ar.Irving@walla.co.il,3,500.0
152,Keir,Broughton,F,Ke.Broughton@hotmail.com,5,600.0
153,Kaiya,Robin,M,Ka.Robin@walla.co.il,5,500.0
154,Daanyal,Holding,M,Da.Ho@walla.co.il,3,1000.0
155,Axl,Bull,M,Axl.Bull@walla.co.il,3,600.0
156,Amara,Shelton,M,Am.Sh@yahoo.com,5,600.0
157,Lynn,Mackie,F,Lynn.Ma@yahoo.com,4,1000.0
158,Kristi,Faulkner,M,Kr.Fa@walla.co.il,5,1000.0
159,Kaden,Oneal,M,Ka.Oneal@walla.co.il,3,800.0
160,Yu,Hudson,F,Yu.Hu@yahoo.com,1,800.0
161,Callen,Dodd,M,Ca.Dodd@hotmail.com,3,500.0
162,Christos,Rodriquez,M,Ch.Ro@yahoo.com,3,800.0
163,Aman,Mccoy,F,Aman.Mc@hotmail.com,4,500.0
164,Danyal,Brennan,M,Da.Brennan@gmail.com,3,500.0
165,Frankie,Huff,F,Frankie.Huff@walla.co.il,3,1000.0
166,Luka,Holder,F,Luka.Ho@yahoo.com,5,500.0
167,Milan,Brookes,F,Mi.Br@gmail.com,5,500.0
168,Manveer,Knight,F,Manveer.Kn@hotmail.com,4,800.0
169,Emaan,Greenaway,M,Emaan.Greenaway@gmail.com,4,500.0
170,Acacia,Slater,F,Ac.Slater@walla.co.il,1,500.0
171,Hanna,Shelton,F,Hanna.Shelton@walla.co.il,5,600.0
172,Frances,Major,M,Fr.Major@gmail.com,5,600.0
173,Renzo,Henderson,M,Re.Henderson@walla.co.il,2,1000.0
174,Freyja,Molina,F,Fr.Mo@hotmail.com,1,600.0
175,Sadie,Waller,F,Sadie.Wa@gmail.com,2,1000.0
176,Amman,Zavala,F,Am.Zavala@gmail.com,5,600.0
177,Sydney,Wells,F,Sy.Wells@yahoo.com,1,500.0
178,Jill,Frame,M,Jill.Fr@gmail.com,1,500.0
179,Israel,Dunlap,M,Is.Du@walla.co.il,2,500.0
180,Bilaal,Berry,M,Bilaal.Berry@yahoo.com,2,1000.0
181,Armaan,Weston,M,Ar.Weston@hotmail.com,1,600.0
182,Micah,Tucker,M,Mi.Tu@yahoo.com,2,800.0
183,Elijah,Beech,M,Elijah.Be@hotmail.com,1,500.0
184,Farah,Sutton,F,Farah.Sutton@yahoo.com,1,500.0
185,Subhaan,Washington,M,Su.Wa@hotmail.com,5,500.0
186,Ariya,Armstrong,F,Ariya.Armstrong@gmail.com,5,600.0
187,Niyah,Whelan,M,Niyah.Whelan@yahoo.com,3,1000.0
188,Darlene,Perry,F,Da.Perry@hotmail.com,2,800.0
189,Nelson,Esparza,M,Nelson.Esparza@yahoo.com,4,500.0
190,Kristina,Hutchinson,F,Kr.Hutchinson@yahoo.com,2,1000.0
191,Kara,Thompson,F,Kara.Thompson@gmail.com,2,800.0
192,Amrit,Haworth,M,Am.Ha@hotmail.com,5,1000.0
193,Mira,Kent,M,Mi.Kent@walla.co.il,1,500.0
194,Shannon,Harwood,F,Shannon.Ha@walla.co.il,5,800.0
195,Samuel,Huerta,M,Sa.Huerta@gmail.com,2,800.0
196,Juan,Barlow,M,Juan.Ba@yahoo.com,4,500.0
197,Natalia,Daniel,F,Natalia.Da@gmail.com,4,500.0
198,Drew,Begum,M,Drew.Begum@gmail.com,3,800.0
199,Nial,Meadows,M,Nial.Me@yahoo.com,5,500.0
200,Diya,Myers,F,Diya.My@walla.co.il,5,600.0
